Trade number,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,淨損益 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累計損益 TWD,累計損益 %
13,多頭進場,2022-07-05 12:45,ENTRY|RD=-0.2627|VR=1.6741|S1=-0.0945|S3=-0.1442|E5=-0.1808|E15=0.0907|T5=-0.0847|T15=0.2372|RV10=0.2094|MSO=220|MTC=50|SID=4|SCT=3|HP=0,27.6,1,27.6,0,0.00,0.05,0.18,-0.05,-0.18,0.05,0.00
14,多頭出場,2022-07-11 11:05,EXIT_REVERSION|XRD=-0.0841|BH=1,28.05,1,28,0.05,0.18,0.05,0.18,0,0.00,0.1,0.00
14,多頭進場,2022-07-11 11:00,ENTRY|RD=-0.2141|VR=1.8532|S1=-0.2388|S3=-0.1561|E5=-0.0892|E15=-0.2671|T5=0.1523|T15=-0.1096|RV10=0.1274|MSO=115|MTC=155|SID=4|SCT=1|HP=0,28,1,28,0.05,0.18,0.05,0.18,0,0.00,0.1,0.00
15,多頭出場,2022-07-12 10:20,EXIT_REVERSION|XRD=-0.07|BH=1,27.45,1,27.45,0,0.00,0.05,0.18,0,0.00,0.1,0.00
15,多頭進場,2022-07-12 10:15,ENTRY|RD=-0.2179|VR=1.5977|S1=-0.1298|S3=-0.1014|E5=-0.1818|E15=-0.091|T5=-0.0511|T15=0.0111|RV10=0.1439|MSO=70|MTC=200|SID=4|SCT=1|HP=0,27.45,1,27.45,0,0.00,0.05,0.18,0,0.00,0.1,0.00
16,多頭出場,2022-07-28 09:20,EXIT_REVERSION|XRD=-0.0618|BH=2,29.4,1,29.35,0.05,0.17,0.05,0.17,0,0.00,0.15,0.00
16,多頭進場,2022-07-28 09:10,ENTRY|RD=-0.2148|VR=1.5609|S1=-0.2148|S3=-0.1237|E5=-0.3393|E15=0.8151|T5=-0.1245|T15=0.8829|RV10=0.3744|MSO=5|MTC=265|SID=2|SCT=1|HP=0,29.35,1,29.35,0.05,0.17,0.05,0.17,0,0.00,0.15,0.00
17,多頭出場,2022-08-01 09:15,EXIT_REVERSION|XRD=0|BH=1,29.35,1,29.3,0.05,0.17,0.05,0.17,0,0.00,0.2,0.00
17,多頭進場,2022-08-01 09:10,ENTRY|RD=-0.2129|VR=3.0686|S1=-0.2129|S3=-0.1721|E5=-0.2129|E15=-0.5515|T5=0|T15=-0.1075|RV10=0.1397|MSO=5|MTC=265|SID=2|SCT=1|HP=0,29.3,1,29.3,0.05,0.17,0.05,0.17,0,0.00,0.2,0.00
18,多頭出場,2022-08-04 11:50,EXIT_TIME|XRD=-0.2111|BH=2,28.9,1,28.95,-0.05,-0.17,0,0.00,-0.15,-0.52,0.15,0.00
18,多頭進場,2022-08-04 11:40,ENTRY|RD=-0.2134|VR=2.6431|S1=-0.1129|S3=-0.1094|E5=-0.1726|E15=-0.3874|T5=-0.0593|T15=-0.2776|RV10=0.0947|MSO=155|MTC=115|SID=4|SCT=1|HP=0,28.95,1,28.95,-0.05,-0.17,0,0.00,-0.15,-0.52,0.15,0.00
19,多頭出場,2022-08-17 10:00,EXIT_TIME|XRD=-0.165|BH=2,30.55,1,30.55,0,0.00,0.05,0.16,0,0.00,0.15,0.00
19,多頭進場,2022-08-17 09:50,ENTRY|RD=-0.2593|VR=1.568|S1=-0.087|S3=-0.1133|E5=0|E15=-0.0818|T5=0.0867|T15=0.0311|RV10=0.11|MSO=45|MTC=225|SID=3|SCT=1|HP=1,30.55,1,30.55,0,0.00,0.05,0.16,0,0.00,0.15,0.00
20,多頭出場,2022-08-17 12:50,EXIT_TIME|XRD=-0.1404|BH=2,30.5,1,30.45,0.05,0.16,0.05,0.16,0,0.00,0.2,0.00
20,多頭進場,2022-08-17 12:40,ENTRY|RD=-0.2003|VR=4.1582|S1=-0.1772|S3=-0.2512|E5=-0.123|E15=-0.2864|T5=0.0542|T15=-0.0358|RV10=0.0641|MSO=215|MTC=55|SID=4|SCT=2|HP=0,30.45,1,30.45,0.05,0.16,0.05,0.16,0,0.00,0.2,0.00
21,多頭出場,2022-08-24 12:25,EXIT_TIME|XRD=-0.1499|BH=2,29.45,1,29.45,0,0.00,0.05,0.17,-0.05,-0.17,0.2,0.00
21,多頭進場,2022-08-24 12:15,ENTRY|RD=-0.284|VR=2.1552|S1=-0.1781|S3=-0.1942|E5=-0.0849|E15=-0.2542|T5=0.0948|T15=-0.0585|RV10=0.0893|MSO=190|MTC=80|SID=4|SCT=1|HP=0,29.45,1,29.45,0,0.00,0.05,0.17,-0.05,-0.17,0.2,0.00
22,多頭出場,2022-09-21 10:20,EXIT_TIME|XRD=-0.2942|BH=2,28.1,1,28.1,0,0.00,0.05,0.18,0,0.00,0.2,0.00
22,多頭進場,2022-09-21 10:10,ENTRY|RD=-0.2052|VR=3.4659|S1=0.0016|S3=0.0007|E5=0.089|E15=0.1782|T5=0.0872|T15=0.1771|RV10=0.0683|MSO=65|MTC=205|SID=4|SCT=1|HP=0,28.1,1,28.1,0,0.00,0.05,0.18,0,0.00,0.2,0.00
23,多頭出場,2022-10-11 11:55,EXIT_REVERSION|XRD=-0.0757|BH=1,25.2,1,25.2,0,0.00,0,0.00,0,0.00,0.2,0.00
23,多頭進場,2022-10-11 11:50,ENTRY|RD=-0.2001|VR=1.5258|S1=-0.0113|S3=-0.0638|E5=-0.0496|E15=-0.1487|T5=-0.0381|T15=-0.0844|RV10=0.0533|MSO=165|MTC=105|SID=4|SCT=1|HP=0,25.2,1,25.2,0,0.00,0,0.00,0,0.00,0.2,0.00
24,多頭出場,2022-11-14 10:45,EXIT_TIME|XRD=-0.2617|BH=2,27.55,1,27.5,0.05,0.18,0.05,0.18,0,0.00,0.25,0.00
