time,close,0050 · TWSE: close,TW50 · FTSE: close,Volume,0050 - TW50 Relative Deviation,Entry,Exit by Reversion,Exit by Time,Exit by Stop,Exit by End of Day,relative_deviation,volume_ratio,deviation_slope_1bar,deviation_slope_3bar,etf_return_5m,etf_return_15m,tw50_return_5m,tw50_return_15m,realized_vol_10bar,minutes_since_open,minutes_to_close,session_id,signal_count_today,volume_ok_num,allow_entry_num,force_exit_num,candidate_signal_v1_1_num,is_2025_high_prob_session_num
2026-05-22T10:30:00+08:00,96.6,96.6,38665.42,2030000,0.3728043927269181,,,,,,0.3728043927269181,1.523680852660812,0.020885271414821605,0.20070004097440003,0.0517866390471229,0.0517866390471229,0.031096876342047008,-0.14833615079052098,0.07954150457591892,90,180,4,0,1,1,0,0,0
2026-05-22T10:35:00+08:00,96.6,96.6,38709.44,692000,0.25884749442554367,,,,,,0.25884749442554367,0.49538263297301166,-0.11395689830137445,0.07481495594976728,0,0,0.11384849821883243,-0.0746030934727564,0.07321842580266308,95,175,4,0,0,1,0,0,0
2026-05-22T10:40:00+08:00,96.6,96.6,38657.2,515000,0.39408394075139214,,,,,,0.39408394075139214,0.3685020213945834,0.13523644632584847,0.04216481943929562,0,0.0517866390471229,-0.13495416105220132,0.009830959242901359,0.064665193322207,100,170,4,0,0,1,0,0,0
2026-05-22T10:45:00+08:00,96.55,96.55,38668.37,274000,0.31316549188066645,,,,,,0.31316549188066645,0.2231088673560785,-0.08091844887072569,-0.059638900846251675,-0.05175983436852709,-0.05175983436852709,0.028895005328905172,0.007629556332258555,0.06548855180008765,105,165,4,0,0,1,0,0,0
2026-05-22T10:50:00+08:00,96.55,96.55,38636.49,306000,0.3956949311775318,,,,,,0.3956949311775318,0.27435334200026895,0.08252943929686535,0.13684743675198813,0,-0.05175983436852709,-0.08244464403336539,-0.18845532252598943,0.06319785181200328,110,160,4,0,0,1,0,0,0
2026-05-22T10:55:00+08:00,96.45,96.45,38622.9,516000,0.32687192157712697,,,,,,0.32687192157712697,0.5364940736119775,-0.06882300960040483,-0.06721201917426517,-0.1035732780942458,-0.15527950310558125,-0.03517400260737067,-0.08872861976551752,0.05178933368880524,115,155,4,0,0,1,0,0,0
2026-05-22T11:00:00+08:00,96.35,96.35,38552.27,600000,0.40571137174750993,,,,,,0.40571137174750993,0.6586530545035403,0.07883945017038296,0.09254587986684348,-0.1036806635562556,-0.2071465561885063,-0.18287078391318273,-0.30024539436238407,0.05698166809112566,120,150,4,0,0,1,0,0,0
2026-05-22T11:05:00+08:00,96.05,96.05,38484.72,1464000,0.26856914295789397,,,,,,0.26856914295789397,1.6596757737218002,-0.13714222878961596,-0.12712578821963783,-0.3113648157758144,-0.5178663904712585,-0.1752166603937865,-0.39281518585150155,0.10112173061705071,125,145,4,0,1,1,0,0,0
2026-05-22T11:10:00+08:00,96.2,96.2,38521.71,495000,0.3288174170973958,,,,,,0.3288174170973958,0.5499388956782579,0.060248274139501845,0.0019454955202688473,0.15616866215513345,-0.2592016588906169,0.09611606892293346,-0.2619948269032163,0.11562830720214703,130,140,4,0,0,1,0,0,0
2026-05-22T11:15:00+08:00,96.1,96.1,38468.95,431000,0.36139585471335633,,,,,,0.36139585471335633,0.5159822818149168,0.03257843761596052,-0.044315517034153595,-0.10395010395011281,-0.2594706798131811,-0.13696172885368285,-0.21612216349387392,0.117145187570062,135,135,4,0,0,1,0,0,0
