Trade number,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,淨損益 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累計損益 TWD,累計損益 %
23,多頭進場,2022-10-11 11:50,Long 0050,25.2,1,25.2,0,0.00,0,0.00,0,0.00,0.2,0.00
24,多頭出場,2022-11-14 10:45,Close entry(s) order Long 0050,27.55,1,27.5,0.05,0.18,0.05,0.18,0,0.00,0.25,0.00
24,多頭進場,2022-11-14 10:35,Long 0050,27.5,1,27.5,0.05,0.18,0.05,0.18,0,0.00,0.25,0.00
25,多頭出場,2022-11-29 10:10,Close entry(s) order Long 0050,28.55,1,28.6,-0.05,-0.17,0,0.00,-0.1,-0.35,0.2,0.00
25,多頭進場,2022-11-29 10:00,Long 0050,28.6,1,28.6,-0.05,-0.17,0,0.00,-0.1,-0.35,0.2,0.00
26,多頭出場,2022-11-29 12:25,Close entry(s) order Long 0050,28.8,1,28.75,0.05,0.17,0.05,0.17,0,0.00,0.25,0.00
26,多頭進場,2022-11-29 12:15,Long 0050,28.75,1,28.75,0.05,0.17,0.05,0.17,0,0.00,0.25,0.00
27,多頭出場,2022-11-29 13:05,Close entry(s) order Long 0050,28.8,1,28.75,0.05,0.17,0.05,0.17,0,0.00,0.3,0.00
27,多頭進場,2022-11-29 12:55,Long 0050,28.75,1,28.75,0.05,0.17,0.05,0.17,0,0.00,0.3,0.00
28,多頭出場,2022-12-20 12:15,Close entry(s) order Long 0050,27.6,1,27.6,0,0.00,0.05,0.18,-0.05,-0.18,0.3,0.00
28,多頭進場,2022-12-20 12:05,Long 0050,27.6,1,27.6,0,0.00,0.05,0.18,-0.05,-0.18,0.3,0.00
29,多頭出場,2022-12-21 12:50,Close entry(s) order Long 0050,27.6,1,27.6,0,0.00,0.05,0.18,0,0.00,0.3,0.00
29,多頭進場,2022-12-21 12:40,Long 0050,27.6,1,27.6,0,0.00,0.05,0.18,0,0.00,0.3,0.00
30,多頭出場,2022-12-21 13:05,Close entry(s) order Long 0050,27.65,1,27.6,0.05,0.18,0.05,0.18,0,0.00,0.35,0.00
30,多頭進場,2022-12-21 12:55,Long 0050,27.6,1,27.6,0.05,0.18,0.05,0.18,0,0.00,0.35,0.00
31,多頭出場,2023-01-13 11:55,Close entry(s) order Long 0050,29.25,1,29.25,0,0.00,0.05,0.17,0,0.00,0.35,0.00
31,多頭進場,2023-01-13 11:45,Long 0050,29.25,1,29.25,0,0.00,0.05,0.17,0,0.00,0.35,0.00
32,多頭出場,2023-01-13 12:10,Close entry(s) order Long 0050,29.3,1,29.3,0,0.00,0,0.00,0,0.00,0.35,0.00
32,多頭進場,2023-01-13 12:00,Long 0050,29.3,1,29.3,0,0.00,0,0.00,0,0.00,0.35,0.00
